filename, language, JavaScript, Properties, HTML, Markdown, CSS, JSON, comment, blank, total
.gitattributes, Properties, 0, 1, 0, 0, 0, 0, 1, 1, 3
Libraries\Chart.min.js, JavaScript, 1, 0, 0, 0, 0, 0, 6, 1, 8
Libraries\grafica.min.js, JavaScript, 4, 0, 0, 0, 0, 0, 0, 0, 4
Libraries\math.min.js, JavaScript, 3, 0, 0, 0, 0, 0, 53, 0, 56
Libraries\p5.js, JavaScript, 69775, 0, 0, 0, 0, 0, 26428, 4365, 100568
Libraries\p5.min.js, JavaScript, 1, 0, 0, 0, 0, 0, 1, 1, 3
NeuralNetwork\neuralnetwork.js, JavaScript, 132, 0, 0, 0, 0, 0, 25, 46, 203
README.md, Markdown, 0, 0, 0, 2, 0, 0, 0, 1, 3
SavedTanks\tankbrain_800.json, JSON, 0, 0, 0, 0, 0, 336, 0, 1, 337
game.js, JavaScript, 116, 0, 0, 0, 0, 0, 2, 16, 134
genetic_algorithm.js, JavaScript, 62, 0, 0, 0, 0, 0, 25, 24, 111
index.html, HTML, 0, 0, 20, 0, 0, 0, 0, 2, 22
main.js, JavaScript, 262, 0, 0, 0, 0, 0, 14, 57, 333
obstacle.js, JavaScript, 61, 0, 0, 0, 0, 0, 4, 6, 71
projectile.js, JavaScript, 46, 0, 0, 0, 0, 0, 0, 5, 51
style.css, CSS, 0, 0, 0, 0, 18, 0, 0, 5, 23
tank.js, JavaScript, 195, 0, 0, 0, 0, 0, 76, 54, 325
tankbrain_10514_GEN1629_nn_10-20-3_moving_target.json, JSON, 0, 0, 0, 0, 0, 382, 0, 1, 383
tankbrain_2400.json, JSON, 0, 0, 0, 0, 0, 336, 0, 1, 337
tankbrain_3600.json, JSON, 0, 0, 0, 0, 0, 336, 0, 1, 337
tankbrain_5600.json, JSON, 0, 0, 0, 0, 0, 1, 0, 1, 2
tankbrain_6800_GEN6217_nn_10-20-3.json, JSON, 0, 0, 0, 0, 0, 382, 0, 1, 383
tankbrain_7014_GEN4815_nn_10-15-3_moving_target.json, JSON, 0, 0, 0, 0, 0, 302, 0, 1, 303
tankbrain_7200.json, JSON, 0, 0, 0, 0, 0, 336, 0, 1, 337
tankturret.js, JavaScript, 27, 0, 0, 0, 0, 0, 0, 4, 31
Total, -, 70685, 1, 20, 2, 18, 2411, 26635, 4596, 104368